[2020-04-14 15:41:51,449][WARN ][main] node {#transport#-1}{7oMk8qw2RF-SeGSsxDlSJQ}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:05,501][WARN ][main] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:06,366][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:70)
[2020-04-14 15:44:10,343][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:15,367][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:20,389][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:25,422][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:30,436][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:35,458][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:40,480][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:45,503][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:50,524][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:44:55,546][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:00,563][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:05,584][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:10,603][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:15,619][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:20,640][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:25,660][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:30,681][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:35,704][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:40,723][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:45,740][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:50,758][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:45:55,777][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:00,800][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
